nodename,nodeID,pmSensor,climateSensor,gpsSensor,latitude,longitude,altitude,activity
Central Hub 8,001e06323a37,IPS7100,BME280,GPSGPGGA2,32.7795,-96.8649,125.5,1
PoLo Node 01,2cf7f12032305202,IPS7100CNR,BME688CNR,GPGGAPL,32.992199,-96.757895,200,1
PoLo Node 01,001e0648dc05,IPS7100CNR,BME688CNR,GPGGAPL,32.992199,-96.757895,200,0
